ESTADO;ACCIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IR A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;";";ident;const;int;double;bool;string;[  ];(;);void;,;class;{;};:;interface;if;else;while;for;return;break;Console;.;Writeline;=;==;&&;<;<=;+;*;%;-;!;this;New;intConstant;doubleConstant;boolConstant;dtringConstant;null;$;S';Program;Decl;VariableDecl;Variable;ConstDecl;ConstType;Type;Type';Type'';FunctiondDecl;Formals;Formals';ClassDecl;CladdDecl_P;CladdDecl_R;CladdDecl_O;CladdDecl_Q;Field;InterfaceDecl;InterfaceDecl';Prototype;StmtBlock;StmtBlock';StmtBlock'';StmtBloclk''';Stmt;Stmt';IfStmt;IfStmt';WhileStmt;ForStmt;ReturnStmt;BreakStmt;PrintStmt;PrintStmt';Expr;ExprOr;ExprOr';ExprAnd;ExprAnd';ExprEquals;ExprEquals';ExprComp;ExprComp'
0;;d19;d11;d15;d16;d17;d18;;;;d10;;d12;;;;d13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;8;5;;9;14;;4;;;6;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;acc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;d19;d11;d15;d16;d17;d18;;;;d10;;d12;;;;d13;;;;;;;;;;;;;;;;;;;;;;;;;;;r2;;20;2;3;8;5;;9;14;;4;;;6;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;
3;;r3;r3;r3;r3;r3;r3;;;;r3;;r3;;;;r3;;;;;;;;;;;;;;;;;;;;;;;;;;;r3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;r4;r4;r4;r4;r4;r4;;;;r4;;r4;;;;r4;;;;;;;;;;;;;;;;;;;;;;;;;;;r4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;r5;r5;r5;r5;r5;r5;;;;r5;;r5;;;;r5;;;;;;;;;;;;;;;;;;;;;;;;;;;r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;r6;r6;r6;r6;r6;r6;;;;r6;;r6;;;;r6;;;;;;;;;;;;;;;;;;;;;;;;;;;r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;r7;r7;r7;r7;r7;r7;;;;r7;;r7;;;;r7;;;;;;;;;;;;;;;;;;;;;;;;;;;r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;d21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;d22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;d23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;;;d25;d26;d27;d28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;d29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;d30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;r22;;;;;;d32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;r16;;;;;;r16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;r17;;;;;;r17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;;r18;;;;;;r18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;r19;;;;;;r19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;r20;;;;;;r20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;r8;r8;r8;r8;r8;r8;r8;;r8;;r8;;r8;r8;r8;;r8;r8;r8;r8;r8;r8;r8;r8;;;;;;;;;;;r8;r8;r8;r8;r8;r8;r8;r8;r8;r8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;r9;;;;;;;;d33;r9;;r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;;;;;;;;d34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;;d35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;r11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;r12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;;r13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;r14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;r30;;d37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;d38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;;r15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;;r21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;;d19;;d15;d16;d17;d18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;41;14;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;d19;;d15;d16;d17;d18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;41;14;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;d43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;d44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;;d45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;;d19;;d15;d16;d17;d18;;;;d49;;;;r42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;14;;;;;;;;;;;;46;47;;;;;;;;;;;;;;;;;;;;;;;
39;;;;;;;;;;d50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;;;;;;;;;;r27;;d52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;d53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;;;;;;;;;;d54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;r10;r10;r10;r10;r10;r10;r10;;r10;;r10;;r10;r10;r10;;r10;r10;r10;r10;r10;r10;r10;r10;;;;;;;;;;;r10;r10;r10;r10;r10;r10;r10;r10;r10;r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;;d19;d11;d15;d16;d17;d18;;;;d10;;;;r36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;8;59;;9;14;;58;;;;;;;55;56;;;;;;;;;;;;;;;;;;;;;;;;;;
